"IS1" "IS2" "IS3" "IS4" "IS5" "AV1" "AV2" "CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "AR1" "AR2" "AR3" "AR4" "AR5" "AR6"
"IS1" 1 0.680209982487365 0.660134271720183 0.722129460849358 0.639895801819152 0.597697787897508 0.596101857153051 0.355299952930589 0.505677454548054 0.56212524183204 0.681581863164802 0.584793506728848 0.580754692278958 0.517133206199855 0.561321409059521 0.390401937178475 0.442986302245441 0.501861745046239 0.526193204564248 0.446132080850957
"IS2" 0.680209982487365 1 0.712425674440783 0.61896412301535 0.649522418374308 0.560887599586818 0.602491785143114 0.359123617160187 0.429301675760801 0.544027906808502 0.623055476735848 0.549411390074119 0.55155981162225 0.46675602259371 0.501890849074024 0.422244694207841 0.463596736413719 0.569052910070567 0.518322454544488 0.469548859606279
"IS3" 0.660134271720183 0.712425674440783 1 0.656304528632194 0.682005530406309 0.555338039147257 0.566518235456511 0.322963825349568 0.432523431008225 0.531294771646292 0.614522430642375 0.551947388213687 0.521017286105006 0.481018842990277 0.534216962602727 0.412294854478305 0.454391456970293 0.561467894487407 0.52094639836091 0.456807001075329
"IS4" 0.722129460849358 0.61896412301535 0.656304528632194 1 0.696124725001169 0.624759598185134 0.652318830037536 0.342417307624602 0.531331894567991 0.58320995419569 0.661429163948798 0.52305413725621 0.517926811401826 0.453709259666579 0.559772593763143 0.364915769809 0.443829444840764 0.527459289622639 0.475593823894603 0.420756086961269
"IS5" 0.639895801819152 0.649522418374308 0.682005530406309 0.696124725001169 1 0.610411310281546 0.648728827489522 0.353230248457349 0.448811028734955 0.54645189330074 0.626484973304508 0.531447504771954 0.514899856403076 0.459189525582001 0.580521156662992 0.419293337864298 0.446320872272058 0.564825801974916 0.472740460167455 0.429097917621692
"AV1" 0.597697787897508 0.560887599586818 0.555338039147257 0.624759598185134 0.610411310281546 1 0.689836419465461 0.383525564884045 0.441966562292014 0.50599565646852 0.546337251703122 0.533908014502589 0.550476173143773 0.528648111744555 0.507540895975069 0.354241923138466 0.475872235103616 0.52662263090538 0.477748739484883 0.426433522651858
"AV2" 0.596101857153051 0.602491785143114 0.566518235456511 0.652318830037536 0.648728827489522 0.689836419465461 1 0.40278251240185 0.518942918135861 0.534017299406598 0.625502810358205 0.604560716783482 0.604830722011082 0.563010832377184 0.571580920917471 0.414990462948013 0.526079163435029 0.572564461811303 0.482952210843578 0.430115159320394
"CM1" 0.355299952930589 0.359123617160187 0.322963825349568 0.342417307624602 0.353230248457349 0.383525564884045 0.40278251240185 1 0.372103108771771 0.403323487164799 0.418169742328478 0.409960500991011 0.386426274626369 0.334179759448509 0.345921491201015 0.315938665417939 0.318160174418019 0.341325266053767 0.389182888087524 0.249810261933225
"CM2" 0.505677454548054 0.429301675760801 0.432523431008225 0.531331894567991 0.448811028734955 0.441966562292014 0.518942918135861 0.372103108771771 1 0.612139346946741 0.718044836232293 0.621103594048297 0.665052937263218 0.606272725412498 0.601404721625492 0.374572093574855 0.485231223049564 0.496871815852047 0.564503235891379 0.407569794194307
"CM3" 0.56212524183204 0.544027906808502 0.531294771646292 0.58320995419569 0.54645189330074 0.50599565646852 0.534017299406598 0.403323487164799 0.612139346946741 1 0.74457022662665 0.544329356874343 0.549848646487547 0.477085384696884 0.512494167270127 0.385976543119515 0.384984006695004 0.439219499703421 0.520620445117915 0.40436890009779
"CM4" 0.681581863164802 0.623055476735848 0.614522430642375 0.661429163948798 0.626484973304508 0.546337251703122 0.625502810358205 0.418169742328478 0.718044836232293 0.74457022662665 1 0.639917116177506 0.668078411780562 0.588095963568905 0.665081224104505 0.419875883425878 0.494683467496125 0.581804287208787 0.604638617177174 0.44852121820383
"CM5" 0.584793506728848 0.549411390074119 0.551947388213687 0.52305413725621 0.531447504771954 0.533908014502589 0.604560716783482 0.409960500991011 0.621103594048297 0.544329356874343 0.639917116177506 1 0.719393079214501 0.655402022440917 0.56704095460324 0.412844690860749 0.492619859661381 0.580245798343311 0.68839333464142 0.519568976357065
"CM6" 0.580754692278958 0.55155981162225 0.521017286105006 0.517926811401826 0.514899856403076 0.550476173143773 0.604830722011082 0.386426274626369 0.665052937263218 0.549848646487547 0.668078411780562 0.719393079214501 1 0.792038116409339 0.629337437962648 0.464139280852181 0.549442702221075 0.603487106426553 0.6892064109491 0.498304439963981
"CM7" 0.517133206199855 0.46675602259371 0.481018842990277 0.453709259666579 0.459189525582001 0.528648111744555 0.563010832377184 0.334179759448509 0.606272725412498 0.477085384696884 0.588095963568905 0.655402022440917 0.792038116409339 1 0.619922162371752 0.423844023372517 0.489386855466695 0.522879762597833 0.599999339885188 0.472240059639355
"AR1" 0.561321409059521 0.501890849074024 0.534216962602727 0.559772593763143 0.580521156662992 0.507540895975069 0.571580920917471 0.345921491201015 0.601404721625492 0.512494167270127 0.665081224104505 0.56704095460324 0.629337437962648 0.619922162371752 1 0.491651172430322 0.477538989441198 0.54452280041367 0.567081711812409 0.442895528221183
"AR2" 0.390401937178475 0.422244694207841 0.412294854478305 0.364915769809 0.419293337864298 0.354241923138466 0.414990462948013 0.315938665417939 0.374572093574855 0.385976543119515 0.419875883425878 0.412844690860749 0.464139280852181 0.423844023372517 0.491651172430322 1 0.389369982822367 0.438007702381937 0.375250727231384 0.291232539763032
"AR3" 0.442986302245441 0.463596736413719 0.454391456970293 0.443829444840764 0.446320872272058 0.475872235103616 0.526079163435029 0.318160174418019 0.485231223049564 0.384984006695004 0.494683467496125 0.492619859661381 0.549442702221075 0.489386855466695 0.477538989441198 0.389369982822367 1 0.560907367832554 0.439184291588301 0.404946737454725
