"id","age55","year","hsat","female","yearsed1","empstat"
101,0,1985,8,0,15,1
101,1,1986,7,0,15,1
101,2,1987,5,0,15,1
101,3,1988,8,0,15,1
101,4,1989,7,0,15,1
1701,0,2003,9,0,15,1
1701,1,2004,9,0,15,1
1701,2,2005,9,0,15,1
1701,3,2006,10,0,15,1
1901,0,2003,6,1,10.5,1
1901,1,2004,6,1,10.5,1
2301,0,2001,5,0,18,1
2301,1,2002,5,0,18,1
2301,2,2003,7,0,18,1
2301,3,2004,6,0,18,1
2301,4,2005,8,0,18,1
2301,5,2006,6,0,18,1
2302,0,2001,9,1,18,1
2302,1,2002,8,1,18,1
2302,2,2003,9,1,18,1
2302,3,2004,8,1,18,1
2302,4,2005,9,1,18,1
2302,5,2006,9,1,18,2
2901,0,1987,8,0,11,1
2901,1,1988,4,0,11,1
2901,2,1989,6,0,11,1
2901,3,1990,6,0,11,1
2901,4,1991,3,0,11,1
2901,5,1992,6,0,11,1
3101,0,1985,5,0,9,3
3101,1,1986,8,0,9,3
3101,2,1987,6,0,9,1
3101,3,1988,6,0,9,2
3101,4,1989,0,0,9,3
3101,5,1990,1,0,9,3
3801,0,1985,8,0,10.5,1
3801,1,1986,8,0,10.5,1
3801,2,1987,7,0,10.5,1
3801,3,1988,8,0,10.5,1
3801,4,1989,8,0,10.5,1
3801,5,1990,7,0,10.5,1
4601,0,1988,6,1,16,1
4601,1,1989,3,1,16,1
4601,2,1990,3,1,16,1
4601,3,1991,5,1,16,1
4601,4,1992,7,1,16,1
4601,5,1993,2,1,16,1
5301,0,1992,5,0,9,1
5301,1,1993,6,0,9,1
5301,2,1994,7,0,9,1
5301,3,1995,6,0,9,1
5601,0,1992,10,1,11,1
5601,1,1993,10,1,11,1
5601,2,1994,5,1,11,2
5601,3,1995,0,1,11,3
5601,4,1996,4,1,11,3
5601,5,1997,5,1,11,3
5702,0,1994,9,1,10.5,1
5702,1,1995,1,1,10.5,2
5702,2,1996,5,1,10.5,1
5702,3,1997,2,1,10.5,2
5702,4,1998,4,1,10.5,3
5702,5,1999,3,1,10.5,3
5901,0,1993,6,1,9,1
5901,1,1994,4,1,9,1
5901,2,1995,5,1,9,1
5901,3,1996,6,1,9,1
5901,4,1997,5,1,9,1
5901,5,1998,4,1,9,1
6401,0,1990,3,1,10.5,2
6401,1,1991,6,1,10.5,1
6401,2,1992,7,1,10.5,1
6401,3,1993,6,1,10.5,1
6401,4,1994,1,1,10.5,1
6401,5,1995,1,1,10.5,2
7301,0,1985,9,0,18,1
7301,1,1986,9,0,18,1
7301,2,1987,9,0,18,1
7301,3,1988,9,0,18,2
7301,4,1989,9,0,18,1
7301,5,1990,8,0,18,1
8001,0,1997,5,1,10.5,3
8001,1,1998,6,1,10.5,3
8001,2,1999,3,1,10.5,3
8001,3,2000,4,1,10.5,3
8001,4,2001,4,1,10.5,3
9001,0,1985,7,1,9,3
9001,1,1986,5,1,9,3
9001,2,1987,6,1,9,3
9001,3,1988,5,1,9,3
9001,4,1989,9,1,9,3
9001,5,1990,4,1,9,3
9602,0,2005,8,0,18,2
9602,1,2006,2,0,18,2
9901,0,1999,4,0,18,1
9901,1,2000,6,0,18,1
9901,2,2001,5,0,18,1
9901,3,2002,5,0,18,1
9901,4,2003,4,0,18,1
9901,5,2004,5,0,18,1
9903,0,2003,5,1,10,2
9903,1,2004,5,1,10,1
9903,2,2005,5,1,10,1
9903,3,2006,2,1,10,1
10101,0,1993,7,0,10.5,1
10101,1,1994,6,0,10.5,1
10101,2,1995,6,0,10.5,1
10101,3,1996,5,0,10.5,1
10101,4,1997,5,0,10.5,3
10101,5,1998,6,0,10.5,3
10201,0,1991,7,1,11.5,1
10201,1,1992,4,1,11.5,1
10201,2,1993,6,1,11.5,1
10201,3,1994,4,1,11.5,1
10201,4,1995,5,1,11.5,1
10201,5,1996,4,1,11.5,1
10301,0,1989,5,0,10.5,1
10301,1,1990,7,0,10.5,1
10301,2,1991,6,0,10.5,1
10301,3,1992,7,0,10.5,1
10301,4,1993,7,0,10.5,1
10301,5,1994,5,0,10.5,1
11601,0,2000,2,0,14.5,1
11601,1,2001,2,0,14.5,2
11601,2,2002,5,0,14.5,3
11601,3,2003,5,0,14.5,3
11601,4,2004,6,0,14.5,3
11601,5,2005,6,0,14.5,3
11701,0,1997,6,0,11.5,3
11701,1,1998,7,0,11.5,3
11701,2,1999,6,0,11.5,3
11701,3,2000,7,0,11.5,3
11701,4,2001,4,0,11.5,3
11701,5,2002,6,0,11.5,3
11801,0,1988,3,0,18,1
11801,1,1989,4,0,18,1
11801,2,1990,4,0,18,1
11801,3,1991,4,0,18,1
11801,4,1992,2,0,18,1
11801,5,1993,4,0,18,1
12201,0,1997,6,0,12,3
12201,1,1998,7,0,12,3
12201,2,1999,4,0,12,3
12201,4,2001,4,0,12,3
12201,5,2002,2,0,12,3
12301,0,1996,6,0,11,1
12301,1,1997,4,0,11,1
12301,2,1998,3,0,11,1
12301,3,1999,1,0,11,1
12301,4,2000,2,0,11,1
12701,0,1992,8,0,10.5,1
12701,1,1993,8,0,10.5,1
12701,2,1994,8,0,10.5,1
12701,3,1995,6,0,10.5,1
12701,4,1996,7,0,10.5,1
12701,5,1997,4,0,10.5,2
12801,0,1988,5,0,10.5,1
12801,1,1989,8,0,10.5,2
12801,2,1990,5,0,10.5,2
12801,3,1991,6,0,10.5,1
12801,4,1992,5,0,10.5,1
12801,5,1993,5,0,10.5,1
13001,0,1990,5,0,9,1
13001,1,1991,2,0,9,2
13001,2,1992,4,0,9,3
13001,3,1993,4,0,9,3
13001,4,1994,2,0,9,3
13001,5,1995,6,0,9,3
13101,0,1984,5,0,14,2
13101,1,1985,0,0,14,1
13101,2,1986,4,0,14,1
13101,3,1987,6,0,14,1
13101,4,1988,4,0,14,1
13101,5,1989,6,0,14,1
14801,0,1992,9,0,10.5,1
14801,1,1993,8,0,10.5,1
14801,2,1994,9,0,10.5,1
14801,3,1995,8,0,10.5,1
14801,4,1996,6,0,10.5,1
14801,5,1997,7,0,10.5,1
14901,0,1991,0,0,11,1
14901,1,1992,5,0,11,1
14901,2,1993,5,0,11,2
14901,3,1994,5,0,11,3
14901,4,1995,5,0,11,3
14901,5,1996,7,0,11,3
16301,0,1991,2,0,11.5,3
16301,1,1992,2,0,11.5,3
16301,2,1993,3,0,11.5,3
16301,3,1994,7,0,11.5,3
16301,4,1995,4,0,11.5,3
16301,5,1996,7,0,11.5,3
16401,0,2004,7,0,11.5,1
16401,1,2005,7,0,11.5,1
16401,2,2006,7,0,11.5,1
17001,0,2003,0,0,10.5,3
17001,1,2004,2,0,10.5,3
17001,2,2005,1,0,10.5,3
17001,3,2006,3,0,10.5,3
17101,0,1997,6,0,11,1
17101,1,1998,6,0,11,1
17101,2,1999,5,0,11,1
17101,3,2000,6,0,11,1
17101,4,2001,7,0,11,2
17101,5,2002,7,0,11,3
17301,0,1984,5,0,11.5,1
17301,1,1985,5,0,11.5,1
17301,2,1986,4,0,11.5,1
17301,3,1987,7,0,11.5,1
17301,4,1988,6,0,11.5,1
17301,5,1989,6,0,11.5,1
17501,0,1987,3,0,10.5,1
17501,1,1988,4,0,10.5,2
17501,2,1989,3,0,10.5,1
17501,3,1990,4,0,10.5,1
17501,4,1991,4,0,10.5,1
17501,5,1992,4,0,10.5,1
17601,0,1990,5,0,12,1
17601,1,1991,4,0,12,1
17601,2,1992,3,0,12,1
17601,3,1993,5,0,12,1
17601,4,1994,3,0,12,1
17601,5,1995,3,0,12,1
17701,0,1988,6,0,9,1
17701,1,1989,3,0,9,1
17701,2,1990,5,0,9,1
17701,3,1991,2,0,9,3
17901,0,2003,7,0,10.5,1
17901,1,2004,6,0,10.5,1
17901,2,2005,3,0,10.5,2
17901,3,2006,7,0,10.5,1
18501,0,1985,6,0,10.5,1
18501,1,1986,9,0,10.5,1
18501,2,1987,7,0,10.5,1
18501,3,1988,6,0,10.5,1
18501,4,1989,8,0,10.5,1
18501,5,1990,6,0,10.5,1
18601,0,2000,7,0,13,1
18601,1,2001,8,0,13,1
